,hashtags,goldtruths,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
343,secondlife,['second life'],second life,second lif e,s econd life,sec on dlife,second l if e,secondlife,secondlif e,s econdlife,second l ife,se cond life
344,pinoy,"['pinoy', 'Pinoy']",pinoy,p i n o y,pin o y,p in o y,pino y,pin oy,p i no y,p inoy,p i n oy,pi no y
345,magicalmoms,['magical moms'],magical moms,magicalmoms,magica lmoms,magic al moms,magical mom s,magicalmom s,magical m oms,magicalm oms,magical mo ms,magica l moms
346,SUPA,['SUPA'],SUPA,SU PA,S U P A,SUP A,,,,,,
347,SNL,"['snl', 'SNL']",SNL,SN L,,,,,,,,
348,MyPowerBookG4RIP,['My PowerBook G4 RIP'],My PowerBook G4 RIP,MyPowerBook G4 RIP,My Power Book G4 RIP,MyPowerBookG4 RIP,MyPowerBookG4RIP,My PowerBook G 4 RIP,My PowerBook G4RIP,My PowerBookG4 RIP,MyPowerBook G4RIP,My Power Book G4RIP
349,LAftw,"['Laf tw', 'LA ftw', 'LAftw']",LA ftw,LA ft w,L A ft w,L A f t w,LAft w,LAftw,L A ftw,L A f tw,LA f tw,L Aft w
350,Terminator4,['Terminator 4'],Terminator 4,Termina tor 4,T erminator4,Terminato r4,Terminator4,T erminator 4,Terminat or 4,Ter minator 4,Termina tor4,Terminat or4
351,lookingatpaintcoloursagain,['looking at paint colours again'],looking at paint colours again,look ing at paint colours again,looking at paint coloursagain,looking atpaint colours again,lookingat paint colours again,looking at paintcolours again,looking at paintcoloursagain,look ing at paintcolours again,looking atpaintcolours again,lookingat paintcolours again
352,Evernote,['Evernote'],Evernote,E vernote,Ev ernote,Ever no te,Eve r note,Ever note,E ver note,Evernot e,E ve r note,Eve rnote
353,homeless,['homeless'],homeless,home less,ho me less,h o me less,h omeless,home l ess,h o m e less,hom e less,hom eless,h ome less
354,weight,['weight'],weight,weigh t,wei ght,we igh t,we i ght,w eight,we ight,w e ight,w eigh t,weig ht
355,alohafriday,['aloha friday'],aloha friday,a loha friday,aloha f riday,alo hafriday,alohafriday,aloha fri day,alo ha friday,alohaf riday,aloh a friday,a lo ha friday
356,interop,"['interop', 'Interop']",interop,in terop,i nterop,i nter op,inter op,int erop,intero p,in ter op,int er op,inte rop
357,house,['house'],house,h o u s e,h ou se,ho use,hou se,hous e,h o use,h ouse,h ou s e,h o u se
358,SMCSea,['SMC Sea'],SMC Sea,SMCSea,SMC S ea,SMC Se a,SM C Sea,SMCS ea,S M C Sea,S MC Sea,S M C S ea,S MCSea
359,theofficenbc,['the office nbc'],the office nbc,theoffice nbc,theofficenbc,the office n b c,the office nb c,the office n bc,the officenbc,the off ice nbc,theoffice n bc,the officen bc
360,iheartsyouharderlikewhoa,"['I hearts you harder like whoa', 'i hearts you harder like whoa']",i hearts you harder like whoa,i hearts you harder likewhoa,i he arts you harder like whoa,i hearts you harder likewho a,i hearts you harder like who a,i heart s you harder like whoa,ihearts you harder like whoa,i hearts you harderlike whoa,i hear ts you harder like whoa,ihe arts you harder like whoa
361,whataburger,"['what a burger', 'whataburger']",whataburger,whata burger,w hataburger,what a bur ger,wh ataburger,what a burger,what aburger,w hat a burger,wh at a burger,what ab urger
362,Wolverine,['Wolverine'],Wolverine,Wolverin e,Wolve rine,W ol verine,W olverin e,W olverine,Wol verine,Wo lverine,W o lverine,Wol v erine
363,TMMM,['TMMM'],TMMM,T MMM,TMM M,TM MM,,,,,,
364,xmen,"['xmen', 'x men', 'x men', 'XMen', 'X Men']",xmen,xm en,x men,x m en,,,,,,
365,applefail,['apple fail'],apple fail,app le fail,appl e fail,a pplefail,apple f ail,applefail,app lefail,a pple fail,appl efail,apple fa il
366,betterdays,['better days'],better days,better day s,bet ter days,better da ys,betterdays,betterday s,bet terdays,be tterdays,b etterdays,be tter days
367,giro,"['giro', 'Giro']",giro,gi ro,g iro,g i ro,,,,,,
368,arashi,['arashi'],arashi,ar ashi,ar as hi,a r ashi,ara shi,a rashi,arash i,aras hi,ar a shi,a rash i
369,nopants,['no pants'],no pants,n opants,n o pants,no pa nts,no pan ts,no p ants,nopants,nop ants,n op ants,nopant s
370,subway,['subway'],subway,s ubway,subwa y,s ub way,sub w ay,sub way,su bway,subw ay,sub wa y,su b way
371,canada,['canada'],canada,cana da,canad a,can ad a,ca nada,c anada,can ada,c an ada,ca na da,can a da
372,NHLPlayoffs,['NHL Playoffs'],NHL Playoffs,NHL Playoff s,NH L Playoffs,NHLPlay offs,NHLPlayoffs,NHL Play offs,NHLP layoffs,N HL Playoffs,NH LP layoffs,N H L Playoffs
373,starwarsday,"['star wars day', 'Star Wars day']",starwars day,star wars day,starwars d ay,starwar s day,star war sday,starwarsday,star warsday,starwar sday,starwars da y,starwarsda y
374,simpleplan,['simple plan'],simple plan,simple p lan,simplepla n,simpl e plan,s impleplan,s impl e plan,simpleplan,simple pla n,simpl eplan,s imple plan
375,shibaricon,"['shibaricon', 'shibari con']",shibaricon,shibar icon,shi baricon,shibaric on,shibari c on,shibari con,shiba ricon,shib aricon,s hi baricon,shiba rico n
376,LOFNOTC,['lofnotc'],LOFNOTC,LOFN OTC,L OF NOTC,L OF N OTC,LO FN OTC,LOF NOTC,LO FNOTC,LOF NO TC,LOFNO TC,LOF N OTC
377,wolverine,['wolverine'],wolverine,wolverin e,wol verine,wolve rine,w olverine,w ol verine,wo lverine,wolveri ne,wolv erine,w o lverine
378,SAPInsidetrack,['SAP Inside track'],SAP Insidetrack,SAPInsidetrack,SAP In sidetrack,S AP Insidetrack,SAP Inside track,SAPInside track,SAPIn sidetrack,SAP In side track,SAPIn side track,S A P Insidetrack
379,gadgetshowlive,['gadget show live'],gadget show live,gadgetshow live,gadgetshowlive,gad get show live,gad get showlive,gadgets h ow live,gadget showlive,gadgets how live,gadgets howlive,gadget show li ve
380,health,['health'],health,heal th,healt h,he alt h,hea lth,he al th,heal t h,h e alth,he alth,h ealth
381,storyofmylife,['story of my life'],story of my life,story ofmy life,story ofmylife,story o f my life,storyofmylife,story of mylife,storyof my life,storyofmy life,storyof mylife,s tory of my life
382,lazyeye,['lazy eye'],lazy eye,lazyey e,lazy e ye,la zye ye,laz ye ye,lazyeye,laz yeye,laz y eye,la zyeye,l azyeye
383,Heineken,['Heineken'],Heineken,Heineke n,Hein eken,Hei neken,He ineken,He i neken,Heinek en,Heine ken,He in eken,H eineken
384,fantasysurfer,['fantasy surfer'],fantasy surfer,fantasysurf er,fantasy surf er,fantasy sur fer,fantasysu rfer,fantasy s urfer,fantasysurfer,fantasys urfer,fantas y surfer,fantasys u rfer
385,lenoleaves,['leno leaves'],leno leaves,le no leaves,leno leave s,l e no leaves,le no leave s,lenoleaves,len o leaves,l eno leaves,len oleaves,le n o leaves
386,download2009,"['download 2009', 'Download 2009']",download 2009,down load 2009,download 200 9,download 2 009,down load2009,download 20 0 9,download2009,download 20 09,download 2 0 09,download 2 00 9
387,red,['red'],red,r ed,,,,,,,,
388,laddas,['laddas'],laddas,lad das,ladda s,l addas,l add a s,la dd as,ladd as,la ddas,l add as,lad d as
389,freerealms,['free realms'],free realms,free realm s,freerealm s,f ree realms,fre e realms,freerealms,freere alms,free real ms,freereal ms,free re alms
390,DavidArchuleta,['David Archuleta'],David Archuleta,DavidArchuleta,Davi d Archuleta,David A rchuleta,David Archulet a,Da vid Archuleta,Dav id Archuleta,David Arch uleta,D avid Archuleta,David Ar chuleta
391,asp,"['asp', 'ASP']",asp,a sp,,,,,,,,
392,tastecamp,"['taste camp', 'tastecamp']",tastecamp,tast e camp,tas te camp,tastec amp,ta stecamp,taste camp,tast ecamp,tasteca mp,ta ste camp,taste ca mp
393,cars,['cars'],cars,car s,ca rs,c ars,,,,,,
394,imdeprivedtonightandidontlikeit,"['Im deprived tonight and i dont like it', 'I m deprived tonight and i don t like it']",im deprived tonight and i dont like it,imdeprivedtonight and i dont like it,imdeprived tonightand i dont like it,im deprivedtonight and i dont like it,imdeprived tonight and i don t like it,imdeprived tonight and i dont like it,i mdeprived tonight and i dont like it,im deprived tonightand i dont like it,imdeprived tonight and i dont likeit,imdeprived tonight and i dontlike it
395,AutomationAtaCost,"['Automation At a Cost', 'Automation at a cost']",Automation At a Cost,Automation At aCost,AutomationAt aCost,AutomationAtaCost,Automation A taCost,Automation Ata Cost,Automation AtaCost,AutomationAt a Cost,AutomationAta Cost,AutomationA taCost
396,VS2010,['VS 2010'],VS2010,VS 20 10,VS20 10,V S 2010,VS 2010,VS 201 0,VS201 0,VS 20 1 0,V S2010,VS 2 0 10
397,bulls,['bulls'],bulls,bu lls,bu ll s,bu l ls,b u ll s,bull s,b ulls,bul ls,bul l s,b u lls
398,graze,['graze'],graze,g raze,gra ze,g ra ze,gra z e,graz e,gr aze,g r aze,g raz e,gr a ze
399,Penguins,['penguins'],Penguins,Pen guins,P enguins,P en guins,Penguin s,Pengu ins,Peng uins,Pengu in s,Pe nguins,Pengui ns
400,uptonogood,['up to no good'],up to no good,up to nogood,upto nogood,uptono good,upton ogood,uptonogood,upto no good,up to n o good,upt o no good,upt onogood
401,NOFAKERY,"['NO FAKERY', 'no fakery']",NO FAKERY,NO FAKE RY,NOF AKERY,NO F AKERY,NOFAKER Y,NOFAKERY,NOFA KERY,NO FAKER Y,N OFAKERY,N OF AKERY
402,W,['W'],W,,,,,,,,,
403,twumpet,['twumpet'],twumpet,twumpe t,tw um pet,twu mpet,t wumpet,twum pet,tw umpet,twump et,tw u m pet,twu m pet
404,dispatches,['dispatches'],dispatches,dispatch es,d is patches,dis patch es,disp atches,dis patches,d ispatches,di s patches,dispatch e s,dispatche s
405,antifunny,"['anti funny', 'antifunny', 'anti funny', 'antifunny']",antifunny,ant i funny,an ti funny,anti fun ny,antifunn y,anti funny,ant ifunny,a nt i funny,a nti funny,a ntifunny
406,revision3,['revision 3'],revision 3,re vision 3,r e vision 3,revis ion 3,revision3,re vision3,r evision 3,r evision3,revisi on 3,r e vision3
407,campjitterbug,"['camp jitterbug', 'Camp Jitterbug']",camp jitterbug,camp jitter bug,cam p jitterbug,cam pjitterbug,c ampjitterbug,campjitterbug,campjitter bug,c amp jitterbug,c amp jitter bug,c am p jitterbug
408,training,['training'],training,train ing,trai ning,train in g,train i ng,t raining,trainin g,tr aining,traini ng,tra i ning
409,morningjoe,['morning joe'],morning joe,morning jo e,m orningjoe,m orning joe,morn ing joe,morn ingjoe,morningjoe,morningjo e,mornin gjoe,morning j oe
410,chickintrain,['chick in train'],chick in train,chickintrain,chick intra in,chick i n train,chick i ntrain,chickin train,chicki n train,chick intrain,chicki ntrain,chick int rain
411,procycling,"['pro cycling', 'procycling']",procycling,p ro cycling,pr o cycling,p r o cycling,procycli ng,pro cycling,p rocycling,pr ocycling,procy cling,proc ycling
412,WishfulThinking,['Wishful Thinking'],Wishful Thinking,Wishful Think ing,Wishful Thinkin g,WishfulThink ing,W ishful Thinking,Wishful Think in g,WishfulThinking,Wish ful Thinking,Wish fulThinking,Wishful T hinking
413,WolframAlpha,"['wolfram alpha', 'Wolfram Alpha']",Wolfram Alpha,Wolf ram Alpha,Wolf r am Alpha,WolframAl pha,WolframAlpha,Wolf ramAlpha,Wolfr am Alpha,W olfram Alpha,Wolfram Alph a,WolframAlph a
414,h1n1,"['H1N1', 'h1n1']",h1n1,h1 n1,h 1 n 1,h1n 1,,,,,,
415,fixreply,['fix reply'],fix reply,fi x reply,f i x reply,fixrepl y,fix repl y,fixreply,f ix reply,fi xreply,f ixreply,fix re ply
416,posscon,"['posscon', 'POSS con', 'poss con']",posscon,pos scon,poss c on,pos sc o n,possc on,pos s con,pos sc on,poss con,p oss con,p os scon
417,Arsenal,['Arsenal'],Arsenal,Ar senal,A rsenal,Arse nal,Arsen al,Ars enal,Ar se nal,Ar sen al,Arsena l,Ars en al
418,cubbies,['cubbies'],cubbies,cub bies,cubb ies,cu bbies,cub b ies,cubbie s,c ubbies,cubbi es,cub bi es,c ubbie s
419,yaymen,['yay men'],yaymen,yay me n,ya y men,yay m en,y ay men,yay men,yayme n,y aymen,ya ymen,yaym en
420,badmicrosoft,"['bad microsoft', 'bad Microsoft']",bad microsoft,ba dmicrosoft,ba d microsoft,badm icrosoft,badmicrosoft,bad micro soft,b ad microsoft,badmicro soft,b admicrosoft,bad m icrosoft
421,a11y,['a11y'],a11y,a 11 y,a 11y,a11 y,,,,,,
422,riesling,"['riesling', 'Riesling']",riesling,ri esling,r iesling,ries l ing,rieslin g,ri es l ing,ries ling,riesl ing,rie sling,ri e sling
423,Cannes,['Cannes'],Cannes,C annes,Canne s,C anne s,C a nnes,Cann es,Can nes,C ann es,C ann e s,Cann e s
424,Eurovision,['Eurovision'],Eurovision,E urovision,Eur ovision,Eurovis ion,Eu ro vision,Euro vision,E uro vision,Eu rovision,E u ro vision,Eurovisio n
425,nufc,"['NU FC', 'nufc']",nufc,nu fc,n ufc,nuf c,,,,,,
426,sarcasm,['sarcasm'],sarcasm,s arcasm,sarc asm,sarc as m,s arc a sm,s arc as m,sarcas m,sarca sm,s arcas m,s ar ca sm
427,stargirlinspace,['star girl in space'],stargirl in space,stargirlinspace,stargirlin space,star girlinspace,stargirl i nspace,star girl in space,stargirl inspace,star girlin space,stargirl i n space,star girl inspace
428,poynterday,['poynter day'],poynter day,poynterda y,poynter da y,poyn ter day,poy nterday,poynterday,poynter d ay,poyn terday,poynterd ay,p oynterday
429,istherecessionoveryet,['is the recession over yet'],is the recession over yet,i s the recession over yet,isthe recessionover yet,is th e recession over yet,ist he recession over yet,is the recession over ye t,isthe recession over yet,is the recessionover yet,is t he recession over yet,i s the recessionover yet
430,Adelaide,['Adelaide'],Adelaide,Adela ide,Adel aide,Ad elaide,Adela i de,Adelai de,Adelaid e,A delaide,A del aide,Ad el aide
431,SSMTUP,['SSMTUP'],SSMT UP,SS MT UP,S S M T UP,S SMT UP,SSMTUP,SSM TUP,SS MTUP,S S MT UP,S SMTUP,S S MTUP
432,l3ree,['l3ree'],l3ree,l 3 r e e,l 3 r ee,l3 ree,l 3ree,l 3 ree,l3 re e,l 3 re e,l3r ee,l3re e
433,tennis,['tennis'],tennis,ten nis,tenni s,ten n is,t ennis,tenn is,ten ni s,tenn i s,te nnis,ten n i s
434,toulouse,"['toulouse', 'Toulouse']",toulouse,toulou se,to ulouse,toul ouse,toulo use,toulous e,tou louse,t oulouse,tou lou se,toul o use
435,GA2009,"['GA 2009', 'GA2009']",GA 2009,GA 20 0 9,GA200 9,G A2009,GA2009,G A 2009,GA 200 9,GA 20 09,GA20 09,GA2 009
436,dailyexercise,['daily exercise'],dailyexercise,daily exercise,dail y exercise,da ily exercise,da il y exercise,daily e xercise,dai ly exercise,daily exercis e,d aily exercise,d a ily exercise
437,harrymcflytosing,"['Harry McFly to sing', 'harry mcfly to sing', 'harry mc fly to sing']",harry mcfly to sing,harry mc fly to sing,harrymcflyto sing,harry mcflyto sing,harrymcflytosing,harrymcfly to sing,harry mcfly tosing,harrymc fly to sing,harry mc flyto sing,harrymcfly tosing
438,HenryWoodHouse,"['Henry WoodHouse', 'Henry Wood House', 'Henry Wood house']",Henry Wood House,HenryWoodHouse,HenryWood House,Henry W ood House,Henry Wood Ho use,H enry Wood House,Henry WoodHouse,Henry Wood Hous e,Hen ry Wood House,Henry Wo od House
439,woozywednesday,['woozy wednesday'],woozy wednesday,woo zy wednesday,wooz y wednesday,woozywednes day,wo oz y wednesday,woozywednesday,woozy w ednesday,w oozy wednesday,woozy wednes day,wo ozy wednesday
440,barcamphanoi,"['bar camp hanoi', 'barcamp hanoi']",barcamp hanoi,bar camp hanoi,bar camphanoi,bar camp han oi,barcamp hano i,bar campha noi,barcampha noi,barca mphanoi,bar camphano i,bar cam phanoi
441,singhbca,['singh bca'],singhbca,sing hbca,singh b c a,singh bc a,singh bca,singh b ca,singhb ca,sing hb ca,sin ghbca,sing h b ca
442,indiavotes09,"['india votes 09', 'India Votes 09']",indiavotes09,india votes 0 9,indiavotes 0 9,indiavotes 09,in diavotes09,india votes 09,india votes09,india vote s09,indiavotes0 9,in dia votes 09
443,whatshappening,"['whats happening', 'what s happening', 'whats happening']",whats happening,what s happening,what shappening,whatshappen ing,whatshappening,whats happen ing,whats happeni ng,whats happenin g,whats happen in g,w hats happening
444,notlikely,['not likely'],not likely,n ot likely,not like l y,not likel y,notlikely,not like ly,no t likely,no tlikely,n otlikely,notlike ly
445,wossybookclub,['wossy book club'],wossy bookclub,wossy book club,w ossy book club,w ossy bookclub,wos sy book club,wossybookclub,wossybook club,w ossybookclub,wos sy bookclub,w ossybook club
446,wset,['wset'],wset,w set,w s e t,wse t,,,,,,
447,ncfc,['ncfc'],ncfc,n cfc,nc fc,n cf c,,,,,,
448,boredboots,['bored boots'],boredboots,bo red boots,bored boot s,b o redboots,boredboot s,b oredboots,bored boots,bo redboots,b ored boots,b o red boots
449,Monday,['Monday'],Monday,M on day,Monda y,M onday,Mon da y,Mond ay,Mon d ay,Mon day,M on d ay,Mo nday
450,fixreplies,['fix replies'],fix replies,f i x replies,f ixreplies,fix repli es,fixreplies,fi x replies,f ix replies,fi xreplies,fixrep lies,fix rep lies
451,hiresweetsofgeorgia,['hire sweets of georgia'],hiresweetsofgeorgia,hire sweets of georgia,hi re sweets of georgia,hiresweets ofgeorgia,hiresweets of georgia,hire sweetsofgeorgia,hire sweet s of georgia,hi resweets of georgia,hires weets of georgia,hire sweets ofgeorgia
452,nigella,"['nigella', 'Nigella']",nigella,nig ella,n igella,ni gel la,nigell a,nigel la,ni gella,nigel l a,n ig ella,nige lla
453,rails,"['Rails', 'rails']",rails,rai ls,ra i ls,r ails,r ail s,ra i l s,rail s,ra ils,ra il s,rai l s
454,gayforpeavy,['gay for peavy'],gayforpeavy,gay forpeavy,gay for pea vy,gay forp eavy,gay for peavy,gayfor peavy,gayf or peavy,g ay for peavy,ga y for peavy,gay for peav y
455,mothersday,"['Mothers day', 'Mother s day', 'mothers day', 'mothers day', 'mother s day']",mothers day,mothersday,mother s day,m others day,mother s d ay,mothersda y,mother sday,m othersday,mothers d ay,m other s day
456,notetogod,['note to god'],note to god,not etogod,not e to god,note to go d,notet o god,note togod,noteto god,notetogod,noteto go d,note to g od
457,widgets,['widgets'],widgets,w idgets,wi dgets,wid get s,w id gets,widget s,wid gets,wi d gets,w id get s,w i d gets
458,FLETCHERDAY,"['FLETCHER DAY', 'Fletcher day']",FLETCHER DAY,FLETCHER DA Y,FLETCHERDA Y,F LETCHER DAY,FLETCH ER DAY,FLETCHE RDAY,FLETCHERDAY,F LETCHERDAY,FLETCHER D AY,FLETCH ERDAY
459,coldremedy,['cold remedy'],cold remedy,c old remedy,c oldremedy,coldremed y,coldrem edy,c ol d remedy,coldremedy,col d remedy,col dremedy,cold re med y
460,TintedWindows,"['Tinted Windows', 'tinted windows']",Tinted Windows,Tin ted Windows,T int ed Windows,TintedWindows,Tinted Window s,Tint ed Windows,T inted Windows,TintedWindow s,Tint edWindows,T in ted Windows
461,Bashmash,"['Bashmash', 'Bash mash']",Bashmash,B ashmash,Bashmas h,Bashma sh,Bash mash,B ash m ash,B ashm ash,Bash ma sh,B ash mash,Bash m ash
462,cityrail,"['city rail', 'cityrail']",cityrail,c ityrail,c ity rail,city rai l,city rail,city r ail,ci tyrail,cityr ail,ci ty rail,city r ai l
463,pc09,"['pc09', 'pc 09', 'PC 09']",pc09,pc 0 9,pc 09,p c 09,,,,,,
464,geekmeet,"['geekmeet', 'geek meet']",geekmeet,geekm eet,geekme et,gee kmeet,geek me et,geek meet,geek m eet,g eek meet,geekmee t,ge ek meet
465,gfail,['gfail'],gfail,gfai l,gf ail,g fai l,g fail,gfa il,g fa il,g f ail,g f ai l,gfa i l
466,thebeat,['the beat'],the beat,thebe at,th ebeat,the b eat,the be a t,thebeat,the be at,th e beat,t he beat,thebea t
467,puntastrophe,"['puntastrophe', 'punt astrophe']",puntastrophe,pun ta strophe,punt a strophe,pu ntastrophe,pun t astrophe,punta strophe,pun tastrophe,punt astrophe,p untastrophe,pun t a strophe
468,VirtualKiss,['Virtual Kiss'],Virtual Kiss,Virtua l Kiss,Virtual K iss,Virtual K is s,Virtual K i ss,VirtualKiss,Virtu al Kiss,VirtualKis s,Virt ual Kiss,Virtual Ki ss
469,iloseweight,"['i lose weight', 'I lose weight']",i lose weight,iloseweight,ilo se weight,il oseweight,ilo seweight,i loseweight,ilose weight,il ose weight,i lo se weight,il o se weight
470,technologicalracism,['technological racism'],technological racism,techno logical racism,technolog ical racism,t echnological racism,tech no logical racism,technologicalracism,technologic alracism,technological ra cism,tech nological racism,techno logicalracism
471,tweetb4Ueat,['tweet b4 U eat'],tweet b4Ueat,tweet b4 Ueat,tweetb4 Ueat,tweet b4 U eat,tweet b4Ue at,tweetb4Ueat,tweet b4U eat,tweetb4U eat,tweetb4 U eat,tweetb 4 Ueat
472,posthunt09,"['post hunt 09', 'PostHunt 09']",posthunt09,post hunt 09,posthun t09,p osthunt09,post hunt09,posthunt 09,post hunt 0 9,posthunt 0 9,post hun t09,posthunt0 9
473,pawpawty,['paw pawty'],pawpawty,paw pawty,paw pa wty,paw paw ty,pawp awty,pawpaw ty,pawpawt y,pawpa wty,pawpaw t y,p awpawty
474,tuttle,['tuttle'],tuttle,tutt le,tu tt le,t uttle,tu ttle,tu t t le,tu ttl e,t utt le,tut tle,t uttl e
475,primavera,['primavera'],primavera,prima ve ra,primav era,prim aver a,prima vera,primaver a,prim avera,prim a vera,p rimavera,p rima vera
476,Borderliner,['Border liner'],Borderliner,Borderline r,B order liner,B orderliner,Bor derliner,Border liner,Border line r,Borderlin er,Borderli ner,Border li ner
477,apprentice,['apprentice'],apprentice,apprentic e,apprenti ce,appren tice,app r entice,a pprentice,apprent ice,appr entice,app rentice,apprenti c e
478,twitteriffic,"['twitteriffic', 'twit teriffic']",twitteriffic,twitter iffic,twitteriff ic,twitter i f fic,twitter if fic,twitterif fic,twitter i ffic,twitteriffi c,twitter iff i c,twitter iff ic
479,last,['last'],last,la st,las t,l ast,,,,,,
480,16,['16'],16,1 6,,,,,,,,
481,posthunt,['post hunt'],posthunt,post hun t,pos thunt,po sthunt,po st hunt,post hunt,p osthunt,p ost hunt,posthun t,post h unt
482,mcfly,['mcfly'],mcfly,mcfl y,mcf ly,m c f l y,mcf l y,mc fly,m cfly,m c fly,m cf l y,mc fl y
483,plowed,['plowed'],plowed,pl owed,plo wed,p lowed,plow ed,plowe d,pl ow ed,plo we d,p l ow ed,p l owed
484,badoptus,['bad optus'],badoptus,bad optus,bad opt us,ba doptus,b adopt us,b adoptus,badopt us,bad op tus,b ad opt us,bado ptus
485,tff2009,['tff 2009'],tff2009,t ff 2009,t f f 2009,t f f2009,tff 200 9,tf f 2009,tff 2009,t ff2009,tf f2009,tff20 0 9
486,DKAJ,['DKAJ'],DKAJ,DKA J,DK AJ,DK A J,,,,,,
487,Dutchlessons,['Dutch lessons'],Dutch lessons,Dutch less ons,Dutchles sons,Dutchless on s,Dutchlessons,Dutch lesson s,Dutch les sons,Dutchless ons,Dutch less on s,Dutchl essons
488,sulax,['sulax'],sula x,su lax,s u l a x,sul ax,s ula x,sulax,su la x,s u la x,s u lax,s ulax
489,bradiewebb,['bradie webb'],bradiewebb,bradiew ebb,bradiewe bb,bradie web b,bradie webb,bradieweb b,brad iewebb,br adiewebb,br adie webb,b radie webb
490,kindle,['kindle'],kindle,kindl e,k indle,k ind le,ki ndle,kind le,kind l e,kin dle,kin d le,k in dle
491,indiavotes,['india votes'],india votes,india vote s,indi avotes,indi a votes,indiavotes,in dia votes,in diavotes,ind ia votes,ind iavotes,in d ia votes
492,crumpets,['crumpets'],crumpets,c rumpets,crump et s,cru m pets,crumpet s,crum pets,cr umpets,crump ets,c rum pets,c rumpet s
493,Sixx,['Sixx'],Sixx,Si x x,Six x,S ixx,,,,,,
494,favoriteicecream,['favorite icecream'],favorite ice cream,favoriteicecream,favorit e icecream,fav orite ice cream,favo rite ice cream,favorite icecream,favoriteice cream,favorit e ice cream,f avorite ice cream,favori te ice cream
495,3turnoffwords,['3 turnoff words'],3 turnoff words,3turnoffwords,3turnoff words,3turn off words,3 turnoffwords,3 turn offwords,3 turn off word s,3 turn off words,3turn offwords,3 turnoff word s
496,Fails,['Fails'],Fails,F ails,F a i l s,Fa ils,Fai ls,F ai l s,Fail s,F ai ls,F a i ls,F ail s
497,formula1,"['Formula1', 'formula 1']",formula 1,formul a1,for mula 1,form ul a 1,formula1,for mula1,form ul a1,formul a 1,form ula1,form ula 1
498,vfth,['vfth'],vfth,vf th,v f th,v fth,,,,,,
499,Chicago,['Chicago'],Chicago,Ch icago,Chica go,C h icago,Chic ago,Chic a go,C hicago,Chicag o,Chi cago,Chi c ago
500,frinightfever,['fri night fever'],fri nightfever,fr inight fever,frinightfever,frinight fever,fr inightfever,fr i nightfever,fri night fever,fr i night fever,f ri night fever,f r inight fever
501,hashtags,['hashtags'],hashtags,hashtag s,h ashtags,ha sh tags,has htags,hash tags,hash tag s,h ash tags,ha shtags,has h tags
502,Tori,['Tori'],Tori,To ri,Tor i,T or i,,,,,,
503,nml09,"['nml 09', 'NML 09', 'nml09']",nml09,n ml09,n ml 09,nm l 09,nml 09,nml 0 9,nm l09,n ml 0 9,nml0 9,n m l 09
504,WTCC,['WTCC'],WTCC,WTC C,WT CC,W T C C,,,,,,
505,Breakingbad,"['Breaking bad', 'Breaking Bad']",Breaking bad,Break ing bad,Breaking b ad,B reaking bad,Breakingbad,Breaking ba d,Break ingbad,Breakingb ad,Breakin g bad,Brea king bad
506,nationofidiots,['nation of idiots'],nation of idiots,nationof idiots,na tion of idiots,nationofidiot s,nationofidiots,nation ofidiots,nation of idiot s,nation of id iots,nation o f idiots,na tionofidiots
507,spsdc,['spsdc'],spsdc,sp sdc,spsd c,sp s dc,s p s dc,sps dc,s psdc,s ps dc,s ps d c,sps d c
508,Coktup,['Coktup'],Coktup,C okt up,C oktup,C ok t up,Cok tup,C ok tup,Cokt up,Cok t up,Co kt up,C o k t up
509,leafs,['leafs'],leafs,le afs,lea fs,lea f s,le a fs,le a f s,leaf s,l eafs,le af s,l e af s
510,georgemichael,['george michael'],george michael,ge orge michael,g eorge michael,ge or gemichael,ge or ge michael,georgemichael,georg emichael,george m ichael,georgem ichael,georg e michael
511,breakfast,['breakfast'],breakfast,break fa st,break f as t,break f a st,breakf as t,break fast,break f ast,break fas t,break f a s t,breakf ast
512,Angels,['Angels'],Angels,A ngels,Ang el s,A n gels,Angel s,Ange ls,An gels,Ang els,Ang e ls,A nge ls
513,inews,['i news'],inews,in ews,in ew s,in e ws,i news,i new s,inew s,ine ws,i n ews,ine w s
514,famouslovelies,['famous lovelies'],famous lovelies,famous love lies,famous lovelie s,famous l ovelies,famous lovel ies,famouslovelies,famouslove lies,fam ous lovelies,famous love lie s,f amous lovelies
515,ahbl,"['ahbl', 'AHBL']",ahbl,ah bl,a hbl,a h bl,,,,,,
516,zappnlaunch,"['Zappn launch', 'zappn launch']",zappn launch,zapp n launch,z appn launch,z appnlaunch,zap pn launch,zappnlaunch,z app n launch,zapp nlaunch,z app nlaunch,za ppn launch
517,awaresg,['aware sg'],aware sg,awaresg,aware s g,awar esg,a war esg,awa re sg,awa resg,awares g,awa res g,aw are sg
518,logies,['logies'],logies,logie s,l og ies,log i es,lo gies,log ies,logi es,l ogies,l o g ies,logi e s
519,MissUSA,['Miss USA'],Miss USA,Miss U SA,M iss USA,MissU SA,MissUS A,MissUSA,Miss US A,Miss U S A,M issUSA,Mi ss USA
520,next09,"['next09', 'next 09', 'NEXT 09']",next09,next 0 9,nex t09,nex t 09,next 09,next0 9,ne x t09,n ext09,n ext 09,ne xt09
521,gravity,['gravity'],gravity,gravi ty,grav ity,grav it y,gra vi ty,gravit y,g ravity,grav i ty,grav i t y,gravi t y
